"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Cart_Tc2_removeItemFromCart","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc2_removeItemFromCart"
"","696","testCheckoutWithValidData","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","testCheckoutWithValidData"
"","3211","testLockedOutUser","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testLockedOutUser"
"","465","testCheckoutWithEmptyZip","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","testCheckoutWithEmptyZip"
"","3334","testEmptyFields","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testEmptyFields"
"","7957","testSuccessfulLoginVerifyProductsPage","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testSuccessfulLoginVerifyProductsPage"
"","2478","testValidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testValidLogin"
"","749","Confirmation_TC2_finishEmptyCartOrder","Surefire suite","2025-12-01","failed","2025-12-01","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC2_finishEmptyCartOrder"
"","7398","testValidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testValidLogin"
"","1226","Confirmation_TC1_finishOrderWithItems","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC1_finishOrderWithItems"
"","962","Cart_Tc3_checkoutWithOneItem","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc3_checkoutWithOneItem"
"","2765","testSuccessfulLoginVerifyProductsPage","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testSuccessfulLoginVerifyProductsPage"
"","481","testCheckoutWithEmptyFirstName","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CheckoutPageTests","Surefire test","SauceDemoTests.CheckoutPageTests","testCheckoutWithEmptyFirstName"
"","966","Confirmation_TC3_backToHomeAfterCompletion","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CheckoutConfirmationPageTests","Surefire test","SauceDemoTests.CheckoutConfirmationPageTests","Confirmation_TC3_backToHomeAfterCompletion"
"","3051","testInvalidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testInvalidLogin"
"","2485","testValidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testValidLogin"
"","1092","Cart_Tc4_checkoutWithMultipleItems","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc4_checkoutWithMultipleItems"
"","993","Cart_Tc1_openCartAfterAddingItems","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.CartPageTests","Surefire test","SauceDemoTests.CartPageTests","Cart_Tc1_openCartAfterAddingItems"
"","2826","testInvalidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testInvalidLogin"
"","2970","testEmptyFields","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testEmptyFields"
"","2778","testSuccessfulLoginVerifyProductsPage","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testSuccessfulLoginVerifyProductsPage"
"","2894","testEmptyFields","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testEmptyFields"
"","17727","loginAndHomeTests","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.HomePageTest","Surefire test","SauceDemoTests.HomePageTest","loginAndHomeTests"
"","3411","testInvalidLogin","Surefire suite","2025-12-01","passed","2025-12-01","SauceDemoTests.LoginPageTests","Surefire test","SauceDemoTests.LoginPageTests","testInvalidLogin"
